chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,UniqueId,teams.code,teams.draw,teams.form,teams.id,teams.loss,teams.name,teams.played,teams.points,teams.position,teams.short_name,teams.strength,teams.team_division,teams.unavailable,teams.win,teams.strength_overall_home,teams.strength_overall_away,teams.strength_attack_home,teams.strength_attack_away,teams.strength_defence_home,teams.strength_defence_away,positions.id,positions.plural_name,positions.plural_name_short,positions.singular_name,positions.singular_name_short,positions.squad_select,positions.squad_min_play,positions.squad_max_play,positions.ui_shirt_specific,positions.sub_positions_locked
,,69140,0,0,-2,2,0,2,1,0.5,0,Shkodran,0,1,FALSE,,,53,69140.jpg,0,Mustafi,0.4,FALSE,,a,1,3,0,5751,297,27035,576,0,0,Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mustafi(69140),3,0,,1,0,Arsenal,0,0,0,ARS,4,,FALSE,0,1250,1330,1210,1260,1290,1330,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
100,100,98745,0,0,-1,1,0,2,1,0.5,0,Héctor,0,2,FALSE,,2019-06-25T11:30:06.897107Z,54,98745.jpg,0,Bellerín,0.3,FALSE,,a,1,3,0,15653,3209,8155,1161,0,0,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bellerín(98745),3,0,,1,0,Arsenal,0,0,0,ARS,4,,FALSE,0,1250,1330,1210,1260,1290,1330,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
100,100,233963,0,0,-1,1,0,2,1,0.5,0,Konstantinos,0,8,FALSE,,2019-08-09T09:30:11.868345Z,44,233963.jpg,0,Mavropanos,0,FALSE,,a,1,3,0,338,38,3440,40,0,0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mavropanos(233963),3,0,,1,0,Arsenal,0,0,0,ARS,4,,FALSE,0,1250,1330,1210,1260,1290,1330,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
100,100,156074,0,0,0,0,0,2,1,0.5,0,Rob,0,10,FALSE,,2019-06-25T11:30:06.913215Z,45,156074.jpg,0,Holding,0.2,FALSE,,a,1,3,0,7514,551,5316,466,0,0,Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holding(156074),3,0,,1,0,Arsenal,0,0,0,ARS,4,,FALSE,0,1250,1330,1210,1260,1290,1330,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
100,100,37605,0,0,-2,2,0,3,1.5,1,0,Mesut,0.5,15,FALSE,,2019-08-09T17:00:13.419733Z,73,37605.jpg,2,Özil,0.6,FALSE,,a,1,3,2,14486,764,85351,1831,0.1,0.3,Özil,70,0,0,0,1,0,0,0,0,0,0,0,15,6.4,18.8,2,2.7,Özil(37605),3,0,,1,0,Arsenal,0,0,0,ARS,4,,FALSE,0,1250,1330,1210,1260,1290,1330,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
100,100,84450,0,0,-2,2,0,3,2.8,2.3,3,Granit,1.8,18,FALSE,,2019-09-08T21:00:18.761460Z,53,84450.jpg,1.7,Xhaka,0.8,FALSE,,a,1,3,12,25968,852,78929,1408,0.3,2.3,Xhaka,611,0,0,2,10,0,0,0,4,0,0,0,76,105.6,87,29,22.2,Xhaka(84450),3,0,,1,0,Arsenal,0,0,0,ARS,4,,FALSE,0,1250,1330,1210,1260,1290,1330,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
100,100,198849,0,0,-2,2,0,3,2,1.5,1,Lucas,1,19,FALSE,,2019-09-08T21:00:18.773636Z,48,198849.jpg,1.9,Torreira,1.4,FALSE,,a,1,3,13,47690,860,102570,3271,0.2,2.7,Torreira,200,1,0,0,4,0,0,0,0,0,0,0,51,75.4,66.4,97,23.9,Torreira(198849),3,0,,1,0,Arsenal,0,0,0,ARS,4,,FALSE,0,1250,1330,1210,1260,1290,1330,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
100,100,200089,0,0,0,0,0,3,2,1.5,1,Joseph,1,490,FALSE,,2019-09-07T11:30:17.190466Z,50,200089.jpg,1.6,Willock,0.2,FALSE,,a,1,3,11,21306,316,21510,675,0.2,2.2,Willock,306,0,0,1,5,0,0,0,0,0,0,0,47,43.4,90.3,56,19,Willock(200089),3,0,,1,0,Arsenal,0,0,0,ARS,4,,FALSE,0,1250,1330,1210,1260,1290,1330,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
100,100,192895,0,0,-1,1,0,2,1,0.5,0,Kieran,0,515,FALSE,,2019-08-09T12:00:11.271398Z,54,192895.jpg,0,Tierney,0.8,FALSE,,a,1,3,0,37071,7307,40500,1147,0,0,Tierney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tierney(192895),3,0,,1,0,Arsenal,0,0,0,ARS,4,,FALSE,0,1250,1330,1210,1260,1290,1330,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
100,100,223340,0,0,0,0,0,3,3.2,2.7,3,Bukayo,2.2,541,FALSE,,2019-09-24T21:30:13.707726Z,45,223340.jpg,3,Saka,1,FALSE,,a,1,3,9,69570,13383,7894,3255,0.5,2,Saka,206,0,1,1,2,0,0,0,0,0,0,0,32,52.4,71.6,70,19.5,Saka(223340),3,0,,1,0,Arsenal,0,0,0,ARS,4,,FALSE,0,1250,1330,1210,1260,1290,1330,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
,,47390,0,0,0,0,0,2,1.8,1.3,0,Neil,1.8,24,FALSE,,,45,47390.jpg,2.3,Taylor,0.3,FALSE,,a,2,7,16,15705,419,13521,994,0.4,3.6,Taylor,568,0,0,2,11,0,0,0,1,0,0,0,95,90.8,27.5,26,14.5,Taylor(47390),7,0,,2,0,Aston Villa,0,0,0,AVL,2,,FALSE,0,980,1050,1050,1060,1010,1050,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
100,100,123354,0,0,0,0,0,2,0,-0.5,0,Kortney,0,25,FALSE,,2019-08-15T13:00:13.496241Z,45,123354.jpg,0,Hause,0.1,FALSE,,a,2,7,0,498,36,3012,87,0,0,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hause(123354),7,0,,2,0,Aston Villa,0,0,0,AVL,2,,FALSE,0,980,1050,1050,1060,1010,1050,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
100,100,193488,0,0,0,0,0,3,6,5.5,9,Anwar,6,30,FALSE,,2019-08-04T16:30:15.264156Z,55,193488.jpg,4.9,El Ghazi,1.3,FALSE,,a,2,7,34,85242,42087,32319,3849,1.1,6.2,El Ghazi,484,2,3,2,9,0,0,0,0,0,0,0,104,174.4,122.2,236,53.4,El Ghazi(193488),7,0,,2,0,Aston Villa,0,0,0,AVL,2,,FALSE,0,980,1050,1050,1060,1010,1050,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
,,221239,-1,1,-1,1,0,3,0.5,0,0,Keinan,0.5,34,FALSE,,,44,221239.jpg,1,Davis,0.3,FALSE,,a,2,7,4,10355,399,16196,688,0.1,0.9,Davis,41,0,0,0,1,0,0,0,0,0,0,0,13,9.2,22.2,4,3.3,Davis(221239),7,0,,2,0,Aston Villa,0,0,0,AVL,2,,FALSE,0,980,1050,1050,1060,1010,1050,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
100,100,40564,0,0,-1,1,0,3,0.2,-0.3,0,Henri,0.2,35,FALSE,,2019-09-25T23:00:14.221337Z,44,40564.jpg,1,Lansbury,0.7,FALSE,,a,2,7,2,64409,419,38702,1681,0,0.5,Lansbury,9,0,0,0,0,0,0,0,0,0,0,0,5,2.2,1.1,4,0.8,Lansbury(40564),7,0,,2,0,Aston Villa,0,0,0,AVL,2,,FALSE,0,980,1050,1050,1060,1010,1050,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
,,89274,-1,1,-2,2,0,3,0.8,0.3,0,José Ignacio,0.8,36,FALSE,,,58,89274.jpg,2.4,Peleteiro Romallo,0.2,FALSE,,a,2,7,12,10581,134,18877,728,0.1,2,Jota,245,0,1,2,3,0,0,0,0,0,0,0,32,41.8,53.7,21,11.6,Jota(89274),7,0,,2,0,Aston Villa,0,0,0,AVL,2,,FALSE,0,980,1050,1050,1060,1010,1050,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
100,100,199798,0,0,-1,1,0,2,0.2,-0.3,1,Ezri,0.2,452,FALSE,,2019-08-05T15:00:10.970602Z,44,199798.jpg,1,Konsa Ngoyo,0.1,FALSE,,a,2,7,1,660,28,2607,67,0,0.2,Konsa,15,0,0,0,1,0,0,0,0,0,0,0,4,6.2,0.3,0,0.7,Konsa(199798),7,0,,2,0,Aston Villa,0,0,0,AVL,2,,FALSE,0,980,1050,1050,1060,1010,1050,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
,,203368,0,0,-1,1,0,2,3,2.5,1,Frédéric,3,458,FALSE,,,44,203368.jpg,3,Guilbert,0.8,FALSE,,a,2,7,18,48416,1444,33361,1587,0.7,4.1,Guilbert,534,0,1,2,7,0,0,0,3,0,0,0,75,101.6,71.8,29,20.2,Guilbert(203368),7,0,,2,0,Aston Villa,0,0,0,AVL,2,,FALSE,0,980,1050,1050,1060,1010,1050,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
100,100,148508,0,0,-2,2,0,3,1.5,1,1,Mahmoud Ahmed,1.5,465,FALSE,,2019-08-31T16:30:09.941826Z,53,148508.jpg,1.3,Ibrahim Hassan,1.1,FALSE,,a,2,7,9,48181,783,175506,2809,0.3,1.7,Trézéguet,395,0,1,1,6,0,0,0,2,1,0,0,10,69.2,73.3,172,31.2,Trézéguet(148508),7,0,,2,0,Aston Villa,0,0,0,AVL,2,,FALSE,0,980,1050,1050,1060,1010,1050,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
,,184704,0,0,-1,1,0,3,2.2,1.7,2,Marvelous,2.2,491,FALSE,,,44,184704.jpg,2.2,Nakamba,1.2,FALSE,,a,2,7,9,88485,5406,33277,3767,0.5,2,Nakamba,344,0,0,1,6,0,0,0,0,0,0,0,67,73.2,47.2,7,12.8,Nakamba(184704),7,0,,2,0,Aston Villa,0,0,0,AVL,2,,FALSE,0,980,1050,1050,1060,1010,1050,3,Midfielders,MID,Midfielder,MID,5,2,5,FALSE,[List]
100,100,56917,0,0,0,0,0,2,1.5,1,2,Steve,1.5,58,FALSE,,2019-07-30T11:30:12.364426Z,50,56917.jpg,1.5,Cook,0.2,FALSE,,a,3,91,12,7425,440,9621,363,0.3,2.4,Steve Cook,720,0,0,0,13,0,0,0,1,0,0,0,108,190.4,21.7,12,22.5,Steve Cook(56917),91,0,,3,0,Bournemouth,0,0,0,BOU,3,,FALSE,0,1060,1120,1020,1070,1110,1150,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
100,100,15149,0,0,-1,1,0,2,0.5,0,1,Simon,0.5,62,FALSE,,2019-06-25T11:30:06.976202Z,44,15149.jpg,1,Francis,0,FALSE,,a,3,91,2,438,87,493,44,0.1,0.5,Francis,12,0,0,0,0,0,0,0,0,0,0,0,9,9,0.6,0,1,Francis(15149),91,0,,3,0,Bournemouth,0,0,0,BOU,3,,FALSE,0,1060,1120,1020,1070,1110,1150,2,Defenders,DEF,Defender,DEF,5,3,5,FALSE,[List]
